uid,ward_id,ward_name,ward_name_kn,corporation,zone,zone_name,ac,ac_no,assembly,ro_division,aro,area_sqkm,pop,male,female,bus,bus_cov,metro,metro_cov,road_km,road_density,polling,parks,parks_cov,playgrounds,playground_area_sqkm,open_space_pc,lakes,lake_cov,lake_area_sqkm,ponds,pond_area_sqkm,water_cov_pct,flood_vuln,flood_prone,low_lying,drain_primary,drain_secondary,drain_tertiary,drain_total,drain_density,schools,anganwadi,anganwadi_per_1000,toilet_cov,toilets,police,police_outpost,railway_police,fire,neighbourhoods,contact_corporator,contact_party,contact_aee,contact_aee_phone,contact_aro_name,contact_aro_phone,old_wards,reservation
Central-11,11,Old Baiyappanahalli,ಹಳೆ ಬೈಯಪ್ಪನಹಳ್ಳಿ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Indiranagar,ARO- Kasturi Nagar,0.548,18858,9572,9126,5,100.1,1,28.6,9.59,17.51,15,0,72.5,0,0.0,0.0,0,,0.0157,0,0.0,2.86,0,0,0,0.0,2.02,0.3,2.32,4.24,5,6,0.32,,0,0,0,1,0,New Baiyyappanahalli Extension; Old Baiyappanahalli; Ramaswamy Layout,Meenakshi,INC,Ravindra Babu,9880475083,Br Manjula,9480684337,Benniganahalli (59.7%); Sarvagna Nagar (40.2%),Scheduled Caste (Women)
Central-12,12,Kasturi Nagar,ಕಸ್ತೂರಿ ನಗರ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Indiranagar,ARO- Kasturi Nagar,3.504,19331,10078,9313,11,76.3,0,12.3,53.41,15.24,20,3,45.7,1,0.0416,2.15,1,48.0,0.0434,2,0.0036,1.34,0,0,0,0.61,0.65,9.35,10.6,3.03,7,4,0.21,10.7,0,0,0,0,0,B Channasandra; Chikka Banasawadi; Doctors Layout; Kasturi Nagar; Kasturi Nagar 2nd Stage,Meenakshi,INC,Ravindra Babu,9880475083,Br Manjula,9480684337,Benniganahalli (100%),"Backward Class ""B"""
Central-13,13,Krishnaiahnapalya,ಕೃಷ್ಣಯ್ಯನ ಪಾಳ್ಯ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Indiranagar,ARO- Kasturi Nagar,1.186,19302,10744,8558,15,94.8,1,50.0,22.55,19.02,18,1,66.8,0,0.0,0.0,0,5.1,0.0,0,0.0,0.0,1,0,0,0.0,0.16,3.97,4.13,3.49,11,4,0.21,25.8,0,1,0,0,0,Baiyyappanahalli; Benniganahalli; Income Tax Layout; Krishnaiahnapalya; Sadananda Nagar,Meenakshi,INC,Ravindra Babu,9880475083,Br Manjula,9480684337,Benniganahalli (91.2%); Sarvagna Nagar (8.8%),"Backward Class ""A"" (Women)"
Central-14,14,Nagavarapalya,ನಾಗವಾರಪಾಳ್ಯ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Jeevan Bhimanagar,ARO- Kaggadasapura,1.96,24875,13128,11747,18,83.8,0,,29.76,15.18,22,1,72.2,0,0.0,0.0,0,36.3,0.0007,0,0.0,0.03,0,0,0,0.04,2.04,3.45,5.53,2.82,9,3,0.12,16.0,0,0,0,0,0,C V Raman Nagar; Nagavarapalaya; Putanna Garden; Rahat Bagh; Sudgunte Palya,Aruna Ravi,BJP,Ravindra Babu,9880475083,Venkatesh,8095208502,C V Raman Nagar (99.9%),General
Central-15,15,Indiranagar,ಇಂದಿರಾನಗರ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Indiranagar,ARO- Indiranagar,2.98,19324,9711,9613,26,93.3,0,43.1,50.15,16.83,11,3,65.3,2,0.0205,1.06,0,6.3,0.0478,0,0.0,1.6,0,1,2,0.0,3.87,3.96,7.82,2.63,17,1,0.05,27.3,1,1,0,0,0,BM Kaval; Binnamangala; Defence Colony; HAL 3rd Stage; Hutting Colony; Kathalipalya; Michaelpalya; Old Binnamangala; Old Thippasandra; Subedar Garden,Anand Kumar,Independent,Vijaykumar,9880229169,Ganesh,9880545707,Hoysala Nagar (37.2%); Sarvagna Nagar (35.3%); New Tippasandara (27.3%),General (Women)
Central-16,16,New Thippasandra,ನ್ಯೂ ತಿಪ್ಪಸಂದ್ರ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Jeevan Bhimanagar,ARO- Jeevan Bhimanagar,1.978,27969,14607,13361,15,97.8,0,0.1,41.03,20.74,14,2,82.5,1,0.013,0.47,2,60.0,0.0991,0,0.0,5.01,0,1,0,1.55,2.61,5.91,10.06,5.09,7,1,0.04,31.9,0,0,0,0,0,Bhoomi Reddy Colony; Gitanjali Layout; Gorkamantapalya; Krishnappa Garden; New Thippasandra; Puttappa Layout; Thippasandra,Shilpa K S,INC,Ravindra Babu,9880475083,Venkatesh,8095208502,New Tippasandara (99.8%),General (Women)
Central-17,17,Kaggadasapura,ಕಗ್ಗದಾಸಪುರ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Jeevan Bhimanagar,ARO- Kaggadasapura,1.152,20794,10675,10119,6,98.5,0,,21.45,18.62,14,0,24.6,0,0.0,0.0,1,46.7,0.1391,0,0.0,12.08,0,0,0,1.32,0.02,0.74,2.08,1.8,4,1,0.05,,0,0,0,0,0,Byrasandra; Kaggadasapura,Aruna Ravi,BJP,Ravindra Babu,9880475083,Venkatesh,8095208502,C V Raman Nagar (97%); New Tippasandara (3%),"Backward Class ""A"""
Central-18,18,G.M Palya,ಜಿ.ಎಂ. ಪಾಳ್ಯ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Jeevan Bhimanagar,ARO- Kaggadasapura,0.837,20579,10695,9884,7,100.1,0,,23.91,28.56,16,0,53.2,3,0.0063,0.3,0,22.6,0.0165,0,0.0,1.97,0,0,0,0.58,1.37,0.96,2.91,3.48,10,1,0.05,5.7,0,0,0,0,0,GM Palya; Malleshpalya; Maruthi Nagar,Aruna Ravi,BJP,Ravindra Babu,9880475083,Venkatesh,8095208502,C V Raman Nagar (60%); New Tippasandara (40%),General (Women)
Central-19,19,Jeevan Bhimanagar,ಜೀವನ್ ಭೀಮನಗರ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Jeevan Bhimanagar,ARO- Jeevan Bhimanagar,1.403,27299,13789,13510,9,67.7,0,,21.63,15.42,27,2,56.0,2,0.0228,0.84,0,18.1,0.0,0,0.0,0.0,1,0,0,0.0,1.84,1.42,3.26,2.32,17,4,0.15,26.1,0,1,0,0,0,Anandapuram; BDA Layout; Hanuman Nagar; Jeevan Bhima Nagar; LIC Colony; NR Colony; NR Layout; Shivalingaiah Colony; Sudhama Nagar,Veena Kumari,BJP,Vijaykumar,9880229169,Prathap,9451792251,Jeevanbhima Nagar (56.5%); Konena Agrahara (31.4%); New Tippasandara (12.1%),"Backward Class ""A"""
Central-20,20,Kodihalli,ಕೋಡಿಹಳ್ಳಿ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Jeevan Bhimanagar,ARO- Konena Agrahara,1.294,24057,12236,11821,9,93.7,0,1.3,29.15,22.53,22,1,93.0,0,0.0,0.0,0,5.4,0.0,0,0.0,0.0,1,1,0,0.68,4.12,2.3,7.1,5.49,9,4,0.17,87.9,0,0,0,0,0,Babasaheb Colony; Corporation Colony; HAL 2nd Stage; Kodihalli,Veena Kumari,BJP,Vijaykumar,9880229169,Prathap,9451792251,Jeevanbhima Nagar (84.3%); Konena Agrahara (15.7%),General
